Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
Q9NPQ8;Q9NVN3	Q9NVN3;Q9NPQ8	RIC8A_HUMAN;RIC8B_HUMAN	RIC8A;RIC8B	Synembryn-A	9.60868	7.60793	3.54687
Q9NQ29	Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	48.8744	35.0428	20.8365
Q9NQ29;Q9Y383	Q9Y383;Q9NQ29	LC7L2_HUMAN;LUC7L_HUMAN	LUC7L;LUC7L2	Putative RNA-binding protein Luc7-like 1	86.7874	72.0471	88.082
Q9NQ50	Q9NQ50	RM40_HUMAN	MRPL40	39S ribosomal protein L40, mitochondrial	37.0779	56.4529	34.182
Q9NQ88	Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR	9.61535	19.3981	25.5546
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	431.656	409.03	326.028
Q9NQG5	Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	28.4998	26.435	23.5208
Q9NQR4	Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	28.4999	34.6572	37.1938
Q9NQT4	Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46	10.3104		14.9743
Q9NQW6	Q9NQW6	ANLN_HUMAN	ANLN	Anillin			10.6473
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	64.2954	64.4559	88.4911
Q9NQX3	Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin	33.9042	40.88	58.2575
Q9NQY0	Q9NQY0	BIN3_HUMAN	BIN3	Bridging integrator 3	14.4636	26.4356	14.4545
Q9NR09	Q9NR09	BIRC6_HUMAN	BIRC6	Baculoviral IAP repeat-containing protein 6	6.07663	8.78413	5.24138
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	68.7396	55.994	68.2348
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo homolog, mitochondrial		26.297	
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	61.5767	62.2849	48.3531
Q9NR31	Q9NR31	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	60.5934	62.7565	58.3454
Q9NR31;Q9Y6B6	Q9Y6B6;Q9NR31	SAR1A_HUMAN;SAR1B_HUMAN	SAR1A;SAR1B	GTP-binding protein SAR1a	246.795	216.437	208.682
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	40.8186	41.4969	44.573
Q9NR50	Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma	26.6075	13.8888	18.8545
Q9NR56	Q5VZF2;Q9NR56	MBNL1_HUMAN	MBNL1	Muscleblind-like protein 1	70.5774	116.175	76.737
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2	35.2816	14.5587	25.6968
Q9NRF9	Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3	18.1228	38.2003	20.4649
Q9NRG0	Q9NRG0	CHRC1_HUMAN	CHRAC1	Chromatin accessibility complex protein 1	7.15729		3.83559
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	17.6594	47.1816	36.7652
Q9NRL3	Q9NRL3	STRN4_HUMAN	STRN4	Striatin-4			30.3452
Q9NRN7	Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	21.1507	12.2445	16.5344
Q9NRP0	Q9NRP0	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC	94.7662	110.032	89.0784
Q9NRR3	Q9NRR3	C42S2_HUMAN	CDC42SE2	CDC42 small effector protein 2			9.38494
Q9NRR5;Q9UHD9;Q9UMX0	Q9UHD9;Q9NRR5;Q9UMX0	UBQL1_HUMAN;UBQL2_HUMAN;UBQL4_HUMAN	UBQLN1;UBQLN2;UBQLN4	Ubiquilin-4	83.2384	65.3601	68.6385
Q9NRR5;Q9UMX0	Q9NRR5;Q9UMX0	UBQL1_HUMAN;UBQL4_HUMAN	UBQLN1;UBQLN4	Ubiquilin-4	206.586	176.572	151.689
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	22.6717	18.3366	28.7113
Q9NRW7	Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45		10.7153	11.7604
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial	35.4393	28.7059	43.5904
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase		11.4611	13.819
Q9NRZ9	Q9NRZ9	HELLS_HUMAN	HELLS	Lymphoid-specific helicase	20.2147	19.3616	17.7075
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	18.7451	19.8433	32.4582
Q9NS86	Q9NS86	LANC2_HUMAN	LANCL2	LanC-like protein 2	20.6632		13.1901
Q9NS91	Q9NS91	RAD18_HUMAN	RAD18	E3 ubiquitin-protein ligase RAD18		32.682	
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	102.032	103.343	103.584
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	38.2883	33.4017	33.256
Q9NSI2	Q9NSI2	F207A_HUMAN	FAM207A	Protein FAM207A			12.7046
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	46.5942	40.7536	30.6492
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	50.613	28.47	36.8619
Q9NTJ5	Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	39.0731	35.0845	30.6227
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	290.969	263.229	285.542
Q9NTM9	Q9NTM9	CUTC_HUMAN	CUTC	Copper homeostasis protein cutC homolog	66.3407	68.1909	53.7617
Q9NTX5	Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	52.4787	45.1786	64.1441
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	101.907	75.022	96.7192
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin	11.9171		19.2702
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	157.153	165.673	196.358
Q9NUL7	Q9NUL7	DDX28_HUMAN	DDX28	Probable ATP-dependent RNA helicase DDX28	8.55932		4.16176
Q9NUP9	Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	29.481	28.6391	35.1113
Q9NUQ2	Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	28.2493	39.1968	43.2851
Q9NUQ3	Q9NUQ3	TXLNG_HUMAN	TXLNG	Gamma-taxilin	18.0541		18.1441
Q9NUQ6	Q9NUQ6	SPS2L_HUMAN	SPATS2L	SPATS2-like protein	15.706	17.2478	15.236
Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3	42.3927	38.6597	33.7532
Q9NUQ9	Q9H0Q0;Q9NUQ9	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	134.124	119.108	127.754
Q9NUU7	Q9NUU7;Q9UMR2	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	67.6712	62.8782	74.2351
Q9NV56	Q9NV56	MRGBP_HUMAN	MRGBP	MRG/MORF4L-binding protein	32.4972	34.143	29.4518
Q9NVA1	Q9NVA1	UQCC1_HUMAN	UQCC1	Ubiquinol-cytochrome-c reductase complex assembly factor 1	30.5335		19.9007
Q9NVA2	Q14141;Q92599;Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	127.078	124.455	135.015
Q9NVD7	Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin	5.69457		11.466
Q9NVE7	Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase	6.75644		5.83704
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	34.3157	52.0631	38.1056
Q9NVI1	Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	19.4116	12.1682	22.6087
Q9NVI7	Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	117.056	122.728	124.837
Q9NVJ2	Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	27.5274	48.033	10.9368
Q9NVM9	Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	8.96454	10.7148	11.2502
Q9NVN8	Q9NVN8	GNL3L_HUMAN	GNL3L	Guanine nucleotide-binding protein-like 3-like protein	12.0229		
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	11.1523	18.7987	12.5245
Q9NVP2	Q9NVP2	ASF1B_HUMAN	ASF1B	Histone chaperone ASF1B	23.1589	18.4189	16.5634
Q9NVS2	Q9NVS2	RT18A_HUMAN	MRPS18A	39S ribosomal protein S18a, mitochondrial	23.7868	34.9373	39.1266
Q9NVS9	Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	33.5205	36.7344	49.2315
Q9NVT9	Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1	23.8555		31.3179
Q9NVU7	Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog	7.50345	17.6825	
Q9NVV4	Q9NVV4	PAPD1_HUMAN	MTPAP	Poly(A) RNA polymerase, mitochondrial	26.0652	27.6428	21.8649
Q9NVX2	Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	29.9549	41.6429	33.2375
Q9NW64	Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	16.0517		12.7049
Q9NW82	Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	16.3507		
Q9NWS0	Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1		13.8169	40.1519
Q9NWS8	Q9NWS8	RMND1_HUMAN	RMND1	Required for meiotic nuclear division protein 1 homolog			8.39961
Q9NWT6	Q9NWT6	HIF1N_HUMAN	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	13.2136	16.1753	
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	39S ribosomal protein L22, mitochondrial	43.2782	33.5913	28.0726
Q9NWV4	Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	25.1549	10.4335	15.3688
Q9NWV8	Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1			4.3334
Q9NWX6	Q9NWX6	THG1_HUMAN	THG1L	Probable tRNA(His) guanylyltransferase	23.4413	33.4003	53.338
Q9NWY4	Q9NWY4;A8MVJ9	HPF1_HUMAN	HPF1	Histone PARylation factor 1	8.68679	11.0319	8.65655
Q9NWZ5	Q9NWZ5	UCKL1_HUMAN	UCKL1	Uridine-cytidine kinase-like 1		6.14741	
Q9NX02	Q9NX02	NALP2_HUMAN	NLRP2	NACHT, LRR and PYD domains-containing protein 2	41.4084	49.7389	31.1645
Q9NX14	Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	26.7953	31.8075	16.9931
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	39S ribosomal protein L16, mitochondrial			10.3623
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	18.224	20.4793	8.50406
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	56.6178	47.2142	52.545
Q9NX46	Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribose glycohydrolase ARH3	21.3936		12.8745
Q9NX47	Q9NX47	MARH5_HUMAN	MARCHF5	E3 ubiquitin-protein ligase MARCHF5	11.4067		17.9387
Q9NX58	Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	40.1875	39.1239	19.2347
Q9NX61	Q9NX61	T161A_HUMAN	TMEM161A	Transmembrane protein 161A			6.12864
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	54.9861	49.8155	46.2329
Q9NXE4	Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	18.1564		10.5634
Q9NXG2	Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	36.2068	38.9526	27.8368
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	52.2565	42.4991	40.56
Q9NXR7	Q9NXR7	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2			9.47112
Q9NXS2	Q9NXS2	QPCTL_HUMAN	QPCTL	Glutaminyl-peptide cyclotransferase-like protein	8.13676		8.92316
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein			7.71971
Q9NY12	Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	19.3305		4.33121
Q9NY27	Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2			32.4468
Q9NY33	Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	60.8867	65.3493	59.5635
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	7.68303	8.68118	8.60309
Q9NYB0	Q9NYB0	TE2IP_HUMAN	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1	9.84693		21.6636
Q9NYB9	Q9NYB9	ABI2_HUMAN	ABI2	Abl interactor 2			13.4787
Q9NYF3	Q9NYF3	FA53C_HUMAN	FAM53C	Protein FAM53C	150.017	227.178	131.912
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	31.3861	33.606	21.179
Q9NYK5	Q9NYK5	RM39_HUMAN	MRPL39	39S ribosomal protein L39, mitochondrial	43.4555	42.2236	32.8143
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	55.8171	67.4612	51.5701
Q9NYL9;Q9NZR1	Q9NYL9;Q9NZR1	TMOD2_HUMAN;TMOD3_HUMAN	TMOD2;TMOD3	Tropomodulin-3	12.7465	6.80018	13.2192
Q9NYS0	Q9NYS0	KBRS1_HUMAN	NKIRAS1	NF-kappa-B inhibitor-interacting Ras-like protein 1			5.72754
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	32.6844	36.35	30.8763
Q9NYY8	Q9NYY8	FAKD2_HUMAN	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial	37.609	37.7089	18.9008
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	88.1426	75.9005	69.6412
Q9NZ32	Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10			13.7196
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	18.2694		5.79281
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	20.9523	29.0928	21.6499
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	40.6556		32.3947
Q9NZJ9	Q9NZJ9;A0A024RBG1	NUDT4_HUMAN	NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2	19.6678	26.1672	14.6229
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	50.8663	55.2597	47.8488
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	125.668	103.047	116.523
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	68.7652	65.7679	60.8809
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2		24.4605	
Q9NZN8	Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	24.2609	24.7438	20.7121
Q9NZR1	Q9NZR1	TMOD2_HUMAN	TMOD2	Tropomodulin-2	24.1005	42.026	22.2276
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor	16.4856	21.8184	27.4137
Q9NZW5	Q9NZW5;Q14168	MPP6_HUMAN	MPP6	MAGUK p55 subfamily member 6			4.56919
Q9NZZ3	Q9NZZ3	CHMP5_HUMAN	CHMP5	Charged multivesicular body protein 5	33.7067	30.693	23.292
Q9P003	Q9P003	CNIH4_HUMAN	CNIH4	Protein cornichon homolog 4	21.2265	26.6673	20.1644
Q9P015	Q9P015	RM15_HUMAN	MRPL15	39S ribosomal protein L15, mitochondrial	42.9442	45.2649	50.5118
Q9P021	Q9P021	CRIPT_HUMAN	CRIPT	Cysteine-rich PDZ-binding protein	9.14815		
Q9P032	Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	22.8099		23.9534
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	59.1362	31.1438	36.8973
Q9P0J0	Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	51.4734	49.7817	58.2719
Q9P0J1	Q9P0J1	PDP1_HUMAN	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	141.951	139.455	170.494
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	131.474	105.357	121.398
Q9P0M9	Q9P0M9	RM27_HUMAN	MRPL27	39S ribosomal protein L27, mitochondrial	19.629	17.0546	20.5411
Q9P0S9	Q9P0S9	TM14C_HUMAN	TMEM14C	Transmembrane protein 14C	14.563	11.2259	10.9111
Q9P0U1	Q9P0U1	TOM7_HUMAN	TOMM7	Mitochondrial import receptor subunit TOM7 homolog			4.22971
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10	32.4548	27.5395	22.8117
Q9P1Y6	Q9P1Y6	PHRF1_HUMAN	PHRF1	PHD and RING finger domain-containing protein 1	7.50407		
Q9P253	Q9P253	VPS18_HUMAN	VPS18	Vacuolar protein sorting-associated protein 18 homolog			9.06221
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	147.788	171.946	193.886
Q9P265	Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	16.4252	26.2566	43.8461
Q9P270	Q9P270	SLAI2_HUMAN	SLAIN2	SLAIN motif-containing protein 2	5.21877		
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	87.3957	97.8304	115.549
Q9P289	O00506;Q9P289	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	19.2636	19.0879	
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	14.6851	10.3692	12.8355
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	49.8099	51.5862	49.1377
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	21.7516	7.64297	14.6264
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic	91.2998	78.0855	83.4077
Q9P2N5	Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27	5.50896	8.51605	8.50997
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5	7.86772		8.47967
Q9P2R7	Q9P2R7	SUCB1_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	43.3675	41.1926	41.5378
Q9P2S5	Q9P2S5	WRP73_HUMAN	WRAP73	WD repeat-containing protein WRAP73			4.92084
Q9P2T1	Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2	21.8635	25.3736	34.0712
Q9P2W9	Q9P2W9	STX18_HUMAN	STX18	Syntaxin-18	18.6663	12.4732	14.2496
Q9P2X0	Q9P2X0	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3	13.9206		11.0671
Q9P2Y5	Q9P2Y5	UVRAG_HUMAN	UVRAG	UV radiation resistance-associated gene protein	30.2966		
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	140.53	112.054	151.755
Q9UBB5	Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2	10.1672		11.9063
Q9UBB6	Q9UBB6	NCDN_HUMAN	NCDN	Neurochondrin	17.7059	10.5168	10.3763
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	11.9007	8.84315	10.0198
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	99.0525	94.9419	99.7555
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	24.6031	20.0938	29.1568
Q9UBF2;Q9Y678	Q9Y678;Q9UBF2	COPG1_HUMAN;COPG2_HUMAN	COPG1;COPG2	Coatomer subunit gamma-2	51.7514	32.2877	61.8352
Q9UBL3	Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2	21.6827		8.34779
Q9UBL6	Q9UBL6	CPNE7_HUMAN	CPNE7	Copine-7	2.85995		8.81943
Q9UBM7	Q9UBM7	DHCR7_HUMAN	DHCR7	7-dehydrocholesterol reductase	58.0177	54.2009	50.319
Q9UBP6	Q9UBP6	TRMB_HUMAN	METTL1	tRNA (guanine-N(7)-)-methyltransferase			23.9436
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	42.1009	38.7105	41.8362
Q9UBQ5	Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	140.381	152.54	141.422
Q9UBQ7	Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	45.1	61.2763	60.6653
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	40.9153	41.7726	35.3789
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	55.8987	34.9754	49.9027
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2	64.7908	55.7013	65.6767
Q9UBU8	Q9UBU8	MO4L1_HUMAN	MORF4L1	Mortality factor 4-like protein 1	21.4164	24.2446	30.6929
Q9UBV2	Q9UBV2	SE1L1_HUMAN	SEL1L	Protein sel-1 homolog 1			25.6824
Q9UBV8	Q9UBV8	PEF1_HUMAN	PEF1	Peflin	13.3053	19.3931	13.8168
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	25.4818	17.4731	20.4353
Q9UBX3	Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	21.3898	40.7325	36.7489
Q9UDW1	Q9UDW1	QCR9_HUMAN	UQCR10	Cytochrome b-c1 complex subunit 9	85.7683	55.2444	52.4388
Q9UDX5	Q9UDX5	MTFP1_HUMAN	MTFP1	Mitochondrial fission process protein 1	12.5212		16.1579
Q9UDY4	Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4	19.6784		15.2286
Q9UDY8	Q9UDY8	MALT1_HUMAN	MALT1	Mucosa-associated lymphoid tissue lymphoma translocation protein 1	15.2398	23.7961	17.3712
Q9UEE5	Q9UEE5	ST17A_HUMAN	STK17A	Serine/threonine-protein kinase 17A		59.0823	49.3285
Q9UEE9	Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1		16.1451	8.22032
Q9UET6	Q9UET6	TRM7_HUMAN	FTSJ1	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase			8.57362
Q9UEW3	Q9UEW3	MARCO_HUMAN	MARCO	Macrophage receptor MARCO		24.6705	
Q9UEW8	Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase	49.2392	52.3426	51.0744
Q9UFC0	Q9UFC0	LRWD1_HUMAN	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	8.13805	12.2315	5.70682
Q9UFW8	Q9UFW8	CGBP1_HUMAN	CGGBP1	CGG triplet repeat-binding protein 1	19.5777	11.1476	10.6728
Q9UG63	Q9UG63	ABCF2_HUMAN	ABCF2	ATP-binding cassette sub-family F member 2	82.0417	73.3262	90.795
Q9UGI8	Q9UGI8	TES_HUMAN	TES	Testin	76.5881	74.7792	85.4166
Q9UGP4	Q9UGP4	LIMD1_HUMAN	LIMD1	LIM domain-containing protein 1	8.63987		9.45378
Q9UGP8	Q9UGP8	SEC63_HUMAN	SEC63	Translocation protein SEC63 homolog	10.5046		14.0423
Q9UGV2	Q9UGV2	NDRG3_HUMAN	NDRG3	Protein NDRG3	23.8197	27.6534	27.3611
Q9UHA4	Q9UHA4	LTOR3_HUMAN	LAMTOR3	Ragulator complex protein LAMTOR3	10.2833		6.37447
Q9UHB9	Q9UHB9	SRP68_HUMAN	SRP68	Signal recognition particle subunit SRP68	66.9607	70.2237	69.2234
Q9UHD1	Q9UHD1	CHRD1_HUMAN	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	120.825	118.132	122.665
Q9UHD2	Q9UHD2	TBK1_HUMAN	TBK1	Serine/threonine-protein kinase TBK1	16.3675	36.9699	19.2887
Q9UHD8	Q9UHD8	SEPT9_HUMAN	SEPTIN9	Septin-9	161.279	147.794	165.569
Q9UHD9	Q9UHD9	UBQL2_HUMAN	UBQLN2	Ubiquilin-2	15.0235	11.3421	16.2087
Q9UHD9;Q9UMX0	Q9UHD9;Q9UMX0	UBQL1_HUMAN;UBQL2_HUMAN	UBQLN1;UBQLN2	Ubiquilin-2	39.7425	56.4155	48.311
Q9UHG3	Q9UHG3	PCYOX_HUMAN	PCYOX1	Prenylcysteine oxidase 1	18.2204	27.2797	27.8605
Q9UHI6	Q9UHI6	DDX20_HUMAN	DDX20	Probable ATP-dependent RNA helicase DDX20	16.5183	39.8218	25.4169
Q9UHJ6	Q9UHJ6	SHPK_HUMAN	SHPK	Sedoheptulokinase	31.096	26.2026	26.8978
Q9UHR4	Q9UHR4	BI2L1_HUMAN	BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	23.543	26.185	14.5545
Q9UHR5	Q9UHR5	S30BP_HUMAN	SAP30BP	SAP30-binding protein	15.7483	16.6923	21.7198
